"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"30.06.2022 00:00",40.911,29.1558,0.1,0
"24.06.2022 00:00",40.911,29.1558,0.1,0
"14.06.2022 00:00",40.911,29.1558,0.1,0
"08.06.2022 00:00",40.911,29.1558,0.3,0
"29.06.2022 00:00",40.911,29.1558,0.7,0
"11.06.2022 00:00",40.911,29.1558,1.5,0
"10.07.2022 00:00",40.911,29.1558,2.6,31
"25.08.2022 00:00",40.911,29.1558,3.8,190
"28.06.2022 00:00",40.911,29.1558,5,0
"13.06.2022 00:00",40.911,29.1558,5.2,0
"08.08.2022 00:00",40.911,29.1558,5.9,0
"12.06.2022 00:00",40.911,29.1558,8.1,0
"11.07.2022 00:00",40.911,29.1558,17.5,0
"16.08.2022 00:00",40.911,29.1558,21.5,0
"26.08.2022 00:00",40.911,29.1558,29.6,0
