"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"21.01.2022 00:00",40.911,29.1558,0.1,0
"09.01.2022 00:00",40.911,29.1558,0.1,0
"09.12.2022 00:00",40.911,29.1558,0.1,0
"14.01.2022 00:00",40.911,29.1558,0.1,0
"10.01.2022 00:00",40.911,29.1558,0.1,0
"27.01.2022 00:00",40.911,29.1558,0.1,0
"16.12.2022 00:00",40.911,29.1558,0.2,0
"11.01.2022 00:00",40.911,29.1558,0.3,0
"14.02.2022 00:00",40.911,29.1558,0.3,0
"20.12.2022 00:00",40.911,29.1558,0.3,0
"05.12.2022 00:00",40.911,29.1558,0.4,0
"19.12.2022 00:00",40.911,29.1558,0.6,0
"14.12.2022 00:00",40.911,29.1558,0.6,0
"01.12.2022 00:00",40.911,29.1558,0.7,0
"26.02.2022 00:00",40.911,29.1558,0.8,0
"02.02.2022 00:00",40.911,29.1558,0.8,0
"16.01.2022 00:00",40.911,29.1558,1,0
"23.02.2022 00:00",40.911,29.1558,1.1,0
"02.01.2022 00:00",40.911,29.1558,1.2,0
"03.12.2022 00:00",40.911,29.1558,1.2,0
"18.01.2022 00:00",40.911,29.1558,1.4,2
"19.01.2022 00:00",40.911,29.1558,1.6,0
"18.02.2022 00:00",40.911,29.1558,1.7,3
"03.01.2022 00:00",40.911,29.1558,2.9,0
"23.01.2022 00:00",40.911,29.1558,3,11
"25.12.2022 00:00",40.911,29.1558,3.5,0
"28.02.2022 00:00",40.911,29.1558,3.6,0
"24.02.2022 00:00",40.911,29.1558,4.1,0
"13.01.2022 00:00",40.911,29.1558,5.3,0
"02.12.2022 00:00",40.911,29.1558,6,0
"26.01.2022 00:00",40.911,29.1558,6.9,0
"24.01.2022 00:00",40.911,29.1558,7.1,16
"13.12.2022 00:00",40.911,29.1558,7.4,0
"04.02.2022 00:00",40.911,29.1558,9.1,0
"25.01.2022 00:00",40.911,29.1558,10.8,0
"19.02.2022 00:00",40.911,29.1558,15,0
"03.02.2022 00:00",40.911,29.1558,16.6,0
"12.01.2022 00:00",40.911,29.1558,17.9,0
"22.01.2022 00:00",40.911,29.1558,18,0
"25.02.2022 00:00",40.911,29.1558,19.1,0
"08.02.2022 00:00",40.911,29.1558,24,0
"09.02.2022 00:00",40.911,29.1558,33.9,0
