"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"09.02.2021 00:00",40.911,29.1558,0.1,0
"22.01.2021 00:00",40.911,29.1558,0.1,0
"19.01.2021 00:00",40.911,29.1558,0.1,0
"07.12.2021 00:00",40.911,29.1558,0.1,0
"20.12.2021 00:00",40.911,29.1558,0.2,0
"13.02.2021 00:00",40.911,29.1558,0.6,0
"16.01.2021 00:00",40.911,29.1558,0.7,0
"14.12.2021 00:00",40.911,29.1558,0.8,0
"18.01.2021 00:00",40.911,29.1558,0.8,0
"09.12.2021 00:00",40.911,29.1558,0.9,0
"05.01.2021 00:00",40.911,29.1558,1.2,0
"19.02.2021 00:00",40.911,29.1558,1.3,0
"14.01.2021 00:00",40.911,29.1558,2.1,0
"01.01.2021 00:00",40.911,29.1558,2.3,0
"04.12.2021 00:00",40.911,29.1558,2.4,0
"10.02.2021 00:00",40.911,29.1558,2.8,0
"18.02.2021 00:00",40.911,29.1558,3.1,0
"17.12.2021 00:00",40.911,29.1558,3.8,0
"14.02.2021 00:00",40.911,29.1558,4,0
"02.01.2021 00:00",40.911,29.1558,4.1,0
"11.12.2021 00:00",40.911,29.1558,4.1,0
"02.02.2021 00:00",40.911,29.1558,4.3,0
"01.12.2021 00:00",40.911,29.1558,4.7,0
"30.12.2021 00:00",40.911,29.1558,5,0
"17.02.2021 00:00",40.911,29.1558,5.8,12
"18.12.2021 00:00",40.911,29.1558,8.5,0
"05.12.2021 00:00",40.911,29.1558,8.5,0
"08.12.2021 00:00",40.911,29.1558,8.8,0
"27.01.2021 00:00",40.911,29.1558,9.3,0
"15.12.2021 00:00",40.911,29.1558,10.1,0
"16.12.2021 00:00",40.911,29.1558,10.6,0
"12.02.2021 00:00",40.911,29.1558,11.3,0
"31.01.2021 00:00",40.911,29.1558,13.6,0
"15.01.2021 00:00",40.911,29.1558,14.1,0
"10.01.2021 00:00",40.911,29.1558,16.7,0
"17.01.2021 00:00",40.911,29.1558,18.4,0
"15.02.2021 00:00",40.911,29.1558,20.2,0
"13.12.2021 00:00",40.911,29.1558,20.4,0
"11.01.2021 00:00",40.911,29.1558,20.8,0
"28.01.2021 00:00",40.911,29.1558,22.3,0
"13.01.2021 00:00",40.911,29.1558,22.9,0
"19.12.2021 00:00",40.911,29.1558,53.9,0
