"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"06.05.2021 00:00",40.911,29.1558,0.1,0
"17.04.2021 00:00",40.911,29.1558,0.1,0
"03.04.2021 00:00",40.911,29.1558,0.1,0
"19.04.2021 00:00",40.911,29.1558,0.2,0
"24.04.2021 00:00",40.911,29.1558,0.2,0
"12.03.2021 00:00",40.911,29.1558,0.3,0
"14.04.2021 00:00",40.911,29.1558,0.3,0
"29.05.2021 00:00",40.911,29.1558,0.4,0
"26.03.2021 00:00",40.911,29.1558,0.4,0
"26.04.2021 00:00",40.911,29.1558,0.4,0
"18.04.2021 00:00",40.911,29.1558,0.5,0
"07.05.2021 00:00",40.911,29.1558,0.6,0
"10.04.2021 00:00",40.911,29.1558,0.6,0
"16.03.2021 00:00",40.911,29.1558,1,0
"02.03.2021 00:00",40.911,29.1558,1.1,0
"25.04.2021 00:00",40.911,29.1558,1.5,0
"20.03.2021 00:00",40.911,29.1558,1.9,0
"08.04.2021 00:00",40.911,29.1558,2,0
"17.05.2021 00:00",40.911,29.1558,2.4,0
"09.05.2021 00:00",40.911,29.1558,2.7,0
"06.04.2021 00:00",40.911,29.1558,3,0
"31.03.2021 00:00",40.911,29.1558,3.2,0
"24.03.2021 00:00",40.911,29.1558,3.7,0
"17.03.2021 00:00",40.911,29.1558,3.8,0
"20.04.2021 00:00",40.911,29.1558,4,0
"03.03.2021 00:00",40.911,29.1558,4,0
"19.05.2021 00:00",40.911,29.1558,4.4,0
"25.03.2021 00:00",40.911,29.1558,5.3,0
"18.03.2021 00:00",40.911,29.1558,6.1,0
"07.03.2021 00:00",40.911,29.1558,6.5,0
"11.03.2021 00:00",40.911,29.1558,6.6,0
"22.03.2021 00:00",40.911,29.1558,7.5,0
"21.03.2021 00:00",40.911,29.1558,7.7,0
"09.04.2021 00:00",40.911,29.1558,12,0
"22.05.2021 00:00",40.911,29.1558,13.1,0
"05.04.2021 00:00",40.911,29.1558,15.9,0
"23.03.2021 00:00",40.911,29.1558,18.7,0
