"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"19.09.2021 00:00",39.9727,32.8637,0.1,0
"16.09.2021 00:00",39.9727,32.8637,0.8,0
"01.11.2021 00:00",39.9727,32.8637,0.9,0
"29.11.2021 00:00",39.9727,32.8637,1.3,0
"22.09.2021 00:00",39.9727,32.8637,1.9,0
"13.10.2021 00:00",39.9727,32.8637,2,0
"25.11.2021 00:00",39.9727,32.8637,2,0
"20.11.2021 00:00",39.9727,32.8637,2.4,0
"17.10.2021 00:00",39.9727,32.8637,2.4,0
"10.11.2021 00:00",39.9727,32.8637,2.5,0
"03.11.2021 00:00",39.9727,32.8637,3.4,0
"24.11.2021 00:00",39.9727,32.8637,3.9,0
"02.11.2021 00:00",39.9727,32.8637,6,0
"01.09.2021 00:00",39.9727,32.8637,6,0
"28.11.2021 00:00",39.9727,32.8637,9.6,2
"30.11.2021 00:00",39.9727,32.8637,13.7,17
"15.09.2021 00:00",39.9727,32.8637,15.5,0
