"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"09.08.2021 00:00",39.9727,32.8637,0.1,0
"22.06.2021 00:00",39.9727,32.8637,0.3,69
"11.08.2021 00:00",39.9727,32.8637,0.5,0
"21.06.2021 00:00",39.9727,32.8637,0.6,145
"14.06.2021 00:00",39.9727,32.8637,0.6,57
"10.06.2021 00:00",39.9727,32.8637,0.7,80
"01.06.2021 00:00",39.9727,32.8637,0.7,11
"26.06.2021 00:00",39.9727,32.8637,0.8,3
"03.06.2021 00:00",39.9727,32.8637,0.9,0
"27.06.2021 00:00",39.9727,32.8637,1.3,0
"02.06.2021 00:00",39.9727,32.8637,1.4,1
"13.06.2021 00:00",39.9727,32.8637,1.4,1
"04.07.2021 00:00",39.9727,32.8637,1.9,0
"08.06.2021 00:00",39.9727,32.8637,1.9,0
"09.06.2021 00:00",39.9727,32.8637,2.4,72
"11.06.2021 00:00",39.9727,32.8637,2.5,26
"12.06.2021 00:00",39.9727,32.8637,4.6,51
"23.06.2021 00:00",39.9727,32.8637,7.9,0
"15.06.2021 00:00",39.9727,32.8637,12.1,0
"13.08.2021 00:00",39.9727,32.8637,12.2,0
