"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"05.04.2021 00:00",39.9727,32.8637,0.1,0
"11.03.2021 00:00",39.9727,32.8637,0.1,0
"09.05.2021 00:00",39.9727,32.8637,0.1,0
"12.04.2021 00:00",39.9727,32.8637,0.1,0
"04.04.2021 00:00",39.9727,32.8637,0.1,0
"07.05.2021 00:00",39.9727,32.8637,0.1,0
"17.05.2021 00:00",39.9727,32.8637,0.2,0
"29.04.2021 00:00",39.9727,32.8637,0.2,0
"09.04.2021 00:00",39.9727,32.8637,0.4,0
"07.03.2021 00:00",39.9727,32.8637,0.5,0
"27.03.2021 00:00",39.9727,32.8637,0.5,0
"14.04.2021 00:00",39.9727,32.8637,0.7,0
"02.04.2021 00:00",39.9727,32.8637,0.7,0
"26.03.2021 00:00",39.9727,32.8637,0.9,0
"12.03.2021 00:00",39.9727,32.8637,1,0
"30.05.2021 00:00",39.9727,32.8637,1.1,0
"25.04.2021 00:00",39.9727,32.8637,1.1,0
"28.05.2021 00:00",39.9727,32.8637,1.5,0
"31.05.2021 00:00",39.9727,32.8637,2.4,0
"29.05.2021 00:00",39.9727,32.8637,2.5,63
"26.04.2021 00:00",39.9727,32.8637,2.5,0
"18.04.2021 00:00",39.9727,32.8637,2.6,0
"18.03.2021 00:00",39.9727,32.8637,2.7,0
"25.03.2021 00:00",39.9727,32.8637,3.2,0
"19.04.2021 00:00",39.9727,32.8637,3.4,0
"30.03.2021 00:00",39.9727,32.8637,3.7,0
"16.03.2021 00:00",39.9727,32.8637,4.6,28
"21.03.2021 00:00",39.9727,32.8637,4.7,0
"08.03.2021 00:00",39.9727,32.8637,4.9,0
"23.05.2021 00:00",39.9727,32.8637,5.6,0
"06.04.2021 00:00",39.9727,32.8637,5.8,0
"20.03.2021 00:00",39.9727,32.8637,6.1,0
"17.03.2021 00:00",39.9727,32.8637,8.6,2
"01.04.2021 00:00",39.9727,32.8637,8.8,0
"23.03.2021 00:00",39.9727,32.8637,9.2,0
"24.03.2021 00:00",39.9727,32.8637,11.2,0
