"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"03.01.2022 00:00",39.9727,32.8637,0.1,0
"16.01.2022 00:00",39.9727,32.8637,0.1,0
"11.01.2022 00:00",39.9727,32.8637,0.2,0
"16.12.2022 00:00",39.9727,32.8637,0.3,0
"08.02.2022 00:00",39.9727,32.8637,0.3,0
"10.02.2022 00:00",39.9727,32.8637,0.3,0
"24.01.2022 00:00",39.9727,32.8637,0.5,0
"05.02.2022 00:00",39.9727,32.8637,0.5,0
"26.12.2022 00:00",39.9727,32.8637,0.6,0
"09.02.2022 00:00",39.9727,32.8637,0.7,0
"02.01.2022 00:00",39.9727,32.8637,0.8,0
"12.12.2022 00:00",39.9727,32.8637,0.9,0
"28.02.2022 00:00",39.9727,32.8637,1.1,0
"25.01.2022 00:00",39.9727,32.8637,1.3,0
"09.01.2022 00:00",39.9727,32.8637,1.9,0
"25.02.2022 00:00",39.9727,32.8637,2.1,0
"24.02.2022 00:00",39.9727,32.8637,2.2,1
"11.12.2022 00:00",39.9727,32.8637,2.2,0
"04.02.2022 00:00",39.9727,32.8637,2.5,0
"13.01.2022 00:00",39.9727,32.8637,2.8,0
"12.01.2022 00:00",39.9727,32.8637,3.3,0
"15.12.2022 00:00",39.9727,32.8637,3.6,0
"23.02.2022 00:00",39.9727,32.8637,5.1,0
"26.02.2022 00:00",39.9727,32.8637,6.5,0
"22.01.2022 00:00",39.9727,32.8637,6.6,0
"19.02.2022 00:00",39.9727,32.8637,7.6,0
"31.01.2022 00:00",39.9727,32.8637,8.2,0
"23.01.2022 00:00",39.9727,32.8637,9.3,0
"14.12.2022 00:00",39.9727,32.8637,14.2,0
