"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"11.03.2022 00:00",39.9727,32.8637,0.1,0
"05.05.2022 00:00",39.9727,32.8637,0.1,0
"12.05.2022 00:00",39.9727,32.8637,0.3,0
"16.05.2022 00:00",39.9727,32.8637,0.4,0
"27.03.2022 00:00",39.9727,32.8637,0.5,0
"26.03.2022 00:00",39.9727,32.8637,0.6,0
"01.05.2022 00:00",39.9727,32.8637,0.6,0
"15.05.2022 00:00",39.9727,32.8637,0.7,9
"25.03.2022 00:00",39.9727,32.8637,0.7,0
"06.05.2022 00:00",39.9727,32.8637,1,0
"04.03.2022 00:00",39.9727,32.8637,1,0
"20.04.2022 00:00",39.9727,32.8637,1,0
"19.05.2022 00:00",39.9727,32.8637,1,0
"24.05.2022 00:00",39.9727,32.8637,1.1,0
"30.05.2022 00:00",39.9727,32.8637,1.2,0
"18.05.2022 00:00",39.9727,32.8637,1.3,1
"08.04.2022 00:00",39.9727,32.8637,1.5,0
"09.03.2022 00:00",39.9727,32.8637,1.5,0
"24.03.2022 00:00",39.9727,32.8637,1.5,0
"04.05.2022 00:00",39.9727,32.8637,4.7,0
"08.03.2022 00:00",39.9727,32.8637,5,0
"02.03.2022 00:00",39.9727,32.8637,5.8,0
"03.03.2022 00:00",39.9727,32.8637,11.6,0
"01.03.2022 00:00",39.9727,32.8637,13.4,0
