"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"19.06.2020 00:00",39.9727,32.8637,0.2,13
"13.06.2020 00:00",39.9727,32.8637,0.2,0
"08.07.2020 00:00",39.9727,32.8637,0.3,0
"22.06.2020 00:00",39.9727,32.8637,0.4,4
"23.06.2020 00:00",39.9727,32.8637,3.9,0
"20.06.2020 00:00",39.9727,32.8637,4.2,0
"16.06.2020 00:00",39.9727,32.8637,4.5,0
"17.07.2020 00:00",39.9727,32.8637,4.8,0
"18.06.2020 00:00",39.9727,32.8637,18.6,0
"12.06.2020 00:00",39.9727,32.8637,24.6,4
"14.06.2020 00:00",39.9727,32.8637,45.9,0
