"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",12,"33,5",52
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",11,"24,0",18
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",16,"21,9",8
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",17,"11,4",2
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",15,"10,4",44
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",13,"9,6",26
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",18,"2,7",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",9,"2,3",10
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",8,"1,9",2
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",14,"1,9",20
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",10,"0,4",2
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",0,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",1,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",2,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",3,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",4,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",5,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",6,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",7,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",19,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",20,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",21,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",22,"0,0",0
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,"2021-06-01",23,"0,0",0
