"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",15,"63,8",26
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",13,"30,2",153
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",19,"21,6",0
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",14,"16,0",18
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",20,"9,2",1
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",16,"8,2",2
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",10,"4,2",3
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",8,"1,8",39
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",18,"1,0",0
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",21,"1,0",2
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",11,"0,4",8
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",17,"0,4",0
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",2,"0,2",0
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",23,"0,2",0
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",9,"0,0",45
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,"2020-07-8",12,"0,0",47
