"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",2,"4,5",61
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",3,"4,5",2
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",10,"4,2",17
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",4,"1,9",0
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",5,"1,1",0
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",7,"0,1",0
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",16,"0,0",1
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",18,"0,0",1
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",19,"0,0",65
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",20,"0,0",479
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",21,"0,0",237
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",22,"0,0",37
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,"2022-07-10",23,"0,0",328
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",16,"118,5",152
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",15,"21,6",58
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",17,"21,3",147
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",14,"11,1",16
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",18,"1,8",0
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",19,"0,7",0
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",20,"0,1",0
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",21,"0,1",0
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,"2022-06-13",22,"0,1",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",0,"51,6",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",21,"47,2",87
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",22,"34,8",158
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",23,"18,6",116
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",20,"13,6",1
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",19,"9,5",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",16,"0,4",12
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",9,"0,4",6
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",17,"0,2",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",10,"0,2",0
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",2,"0,0",9
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",3,"0,0",61
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",8,"0,0",1
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,"2019-06-20",15,"0,0",8
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",15,"69,0",17
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",14,"46,1",10
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",16,"36,0",16
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",13,"18,8",8
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",17,"8,2",4
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",18,"5,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",1,"5,1",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",2,"4,6",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",19,"2,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",12,"1,9",1
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",0,"1,4",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",3,"0,5",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",9,"0,1",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",15,"69,0",17
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",14,"46,1",10
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",16,"36,0",16
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",13,"18,8",8
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",17,"8,2",4
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",18,"5,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",1,"5,1",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",2,"4,6",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",19,"2,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",12,"1,9",1
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",0,"1,4",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",3,"0,5",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",9,"0,1",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",14,"82,2",41
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",13,"72,1",15
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",15,"43,6",25
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",12,"22,5",20
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",16,"21,5",1
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",2,"6,3",5
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",17,"5,8",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",3,"3,9",7
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",0,"2,6",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",4,"0,6",1
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",5,"0,6",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",18,"0,1",0
