"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",15,"69,0",17
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",14,"46,1",10
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",16,"36,0",16
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",13,"18,8",8
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",17,"8,2",4
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",18,"5,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",1,"5,1",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",2,"4,6",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",19,"2,3",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",12,"1,9",1
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",0,"1,4",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",3,"0,5",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",9,"0,1",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",4,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",5,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",6,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",7,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",8,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",10,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",11,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",20,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",21,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",22,"0,0",0
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,"2021-07-14",23,"0,0",0
