"stationNo","stationName","stationCity","date","latitude","longitude","day","hours","totalRain","totalLighting"
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",14,"82,2",41
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",13,"72,1",15
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",15,"43,6",25
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",12,"22,5",20
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",16,"21,5",1
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",2,"6,3",5
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",17,"5,8",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",3,"3,9",7
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",0,"2,6",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",4,"0,6",1
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",5,"0,6",0
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,"2020-07-13",18,"0,1",0
