"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"26.12.2021 00:00",38.3949,27.0819,0.1,0
"16.01.2021 00:00",38.3949,27.0819,0.1,0
"27.12.2021 00:00",38.3949,27.0819,0.1,0
"11.01.2021 00:00",38.3949,27.0819,0.2,0
"04.01.2021 00:00",38.3949,27.0819,0.3,288
"09.01.2021 00:00",38.3949,27.0819,0.3,0
"18.12.2021 00:00",38.3949,27.0819,0.4,0
"21.12.2021 00:00",38.3949,27.0819,0.4,0
"01.12.2021 00:00",38.3949,27.0819,0.5,0
"10.01.2021 00:00",38.3949,27.0819,0.5,5
"03.12.2021 00:00",38.3949,27.0819,1,0
"14.02.2021 00:00",38.3949,27.0819,2.2,0
"09.02.2021 00:00",38.3949,27.0819,3.9,0
"15.12.2021 00:00",38.3949,27.0819,3.9,0
"29.01.2021 00:00",38.3949,27.0819,4,0
"31.12.2021 00:00",38.3949,27.0819,4.4,0
"28.01.2021 00:00",38.3949,27.0819,4.8,2
"30.01.2021 00:00",38.3949,27.0819,5.2,276
"29.12.2021 00:00",38.3949,27.0819,5.4,0
"10.02.2021 00:00",38.3949,27.0819,7,0
"01.01.2021 00:00",38.3949,27.0819,7.2,5
"17.01.2021 00:00",38.3949,27.0819,8.2,0
"12.02.2021 00:00",38.3949,27.0819,8.3,0
"14.12.2021 00:00",38.3949,27.0819,9.2,1
"02.01.2021 00:00",38.3949,27.0819,10.7,0
"14.01.2021 00:00",38.3949,27.0819,10.7,0
"15.01.2021 00:00",38.3949,27.0819,11.5,0
"15.02.2021 00:00",38.3949,27.0819,12.7,0
"30.12.2021 00:00",38.3949,27.0819,12.7,0
"31.01.2021 00:00",38.3949,27.0819,15.5,0
"27.01.2021 00:00",38.3949,27.0819,19.1,1
"07.12.2021 00:00",38.3949,27.0819,23.4,37
"05.01.2021 00:00",38.3949,27.0819,24.5,0
"11.12.2021 00:00",38.3949,27.0819,27.2,0
"04.12.2021 00:00",38.3949,27.0819,28.6,1
"03.02.2021 00:00",38.3949,27.0819,28.9,0
"08.12.2021 00:00",38.3949,27.0819,30.4,0
"13.01.2021 00:00",38.3949,27.0819,32.2,0
"13.12.2021 00:00",38.3949,27.0819,38.6,14
"05.12.2021 00:00",38.3949,27.0819,39.1,0
"02.02.2021 00:00",38.3949,27.0819,124.9,386
